2025-10-15 18:50:50,616 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-10-15 18:50:50,617 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /root/.cache/nanochat/mid_checkpoints/d20 with step 765
2025-10-15 18:50:51,731 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 32
=> Setting grad accum steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation loss: 1.079310
Step 00000/00651 | Training loss: 0.956052| lrm: 1.000000| num_tokens: 15,432
Step 00066/00651 | Training loss: 0.597859| lrm: 0.898618| num_tokens: 11,241
Step 00067/00651 | Training loss: 0.519913| lrm: 0.897081| num_tokens: 11,320
Step 00068/00651 | Training loss: 0.552297| lrm: 0.895545| num_tokens: 15,531
Step 00069/00651 | Training loss: 1.176723| lrm: 0.894009| num_tokens: 10,749
Step 00070/00651 | Training loss: 1.180624| lrm: 0.892473| num_tokens: 8,719
Step 00071/00651 | Training loss: 0.789052| lrm: 0.890937| num_tokens: 11,843
Step 00072/00651 | Training loss: 0.564170| lrm: 0.889401| num_tokens: 11,034
Step 00073/00651 | Training loss: 0.616022| lrm: 0.887865| num_tokens: 11,168
Step 00074/00651 | Training loss: 0.472454| lrm: 0.886329| num_tokens: 9,327
Step 00075/00651 | Training loss: 1.025982| lrm: 0.884793| num_tokens: 11,488
Step 00076/00651 | Training loss: 0.506501| lrm: 0.883257| num_tokens: 11,683
Step 00077/00651 | Training loss: 0.482254| lrm: 0.881720| num_tokens: 7,865
Step 00078/00651 | Training loss: 1.211899| lrm: 0.880184| num_tokens: 11,109
Step 00079/00651 | Training loss: 0.898574| lrm: 0.878648| num_tokens: 12,100
Step 00080/00651 | Training loss: 0.752106| lrm: 0.877112| num_tokens: 13,191
Step 00081/00651 | Training loss: 0.718020| lrm: 0.875576| num_tokens: 5,431
Step 00082/00651 | Training loss: 0.472903| lrm: 0.874040| num_tokens: 11,225
Step 00083/00651 | Training loss: 0.679649| lrm: 0.872504| num_tokens: 11,762
Step 00084/00651 | Training loss: 0.845504| lrm: 0.870968| num_tokens: 10,098
Step 00085/00651 | Training loss: 0.547876| lrm: 0.869432| num_tokens: 8,880
Step 00086/00651 | Training loss: 0.764760| lrm: 0.867896| num_tokens: 8,880
Step 00087/00651 | Training loss: 1.152976| lrm: 0.866359| num_tokens: 15,919
Step 00088/00651 | Training loss: 0.861421| lrm: 0.864823| num_tokens: 10,951
Step 00089/00651 | Training loss: 1.005286| lrm: 0.863287| num_tokens: 12,086
Step 00090/00651 | Training loss: 1.129158| lrm: 0.861751| num_tokens: 8,962
Step 00091/00651 | Training loss: 1.097747| lrm: 0.860215| num_tokens: 14,056
Step 00092/00651 | Training loss: 0.924260| lrm: 0.858679| num_tokens: 10,541
Step 00093/00651 | Training loss: 1.189611| lrm: 0.857143| num_tokens: 9,797
Step 00094/00651 | Training loss: 1.120441| lrm: 0.855607| num_tokens: 9,610
Step 00095/00651 | Training loss: 0.429911| lrm: 0.854071| num_tokens: 9,648
Step 00096/00651 | Training loss: 0.853546| lrm: 0.852535| num_tokens: 10,512
Step 00097/00651 | Training loss: 0.535852| lrm: 0.850998| num_tokens: 8,601
Step 00098/00651 | Training loss: 0.838281| lrm: 0.849462| num_tokens: 11,927
Step 00099/00651 | Training loss: 1.393420| lrm: 0.847926| num_tokens: 12,097
Step 00100 | Validation loss: 1.073468
Step 00100/00651 | Training loss: 1.264318| lrm: 0.846390| num_tokens: 11,126
Step 00101/00651 | Training loss: 0.761893| lrm: 0.844854| num_tokens: 10,333
Step 00102/00651 | Training loss: 0.522234| lrm: 0.843318| num_tokens: 9,697
Step 00103/00651 | Training loss: 0.825811| lrm: 0.841782| num_tokens: 14,321
Step 00104/00651 | Training loss: 0.853640| lrm: 0.840246| num_tokens: 10,257
Step 00105/00651 | Training loss: 0.882799| lrm: 0.838710| num_tokens: 9,327
Step 00106/00651 | Training loss: 0.772371| lrm: 0.837174| num_tokens: 9,114
Step 00107/00651 | Training loss: 0.845624| lrm: 0.835637| num_tokens: 11,792
Step 00108/00651 | Training loss: 0.985303| lrm: 0.834101| num_tokens: 12,747
Step 00109/00651 | Training loss: 1.006019| lrm: 0.832565| num_tokens: 10,286
Step 00110/00651 | Training loss: 1.025630| lrm: 0.831029| num_tokens: 8,810
Step 00111/00651 | Training loss: 0.978943| lrm: 0.829493| num_tokens: 12,371
Step 00112/00651 | Training loss: 0.689002| lrm: 0.827957| num_tokens: 10,294
Step 00113/00651 | Training loss: 0.920533| lrm: 0.826421| num_tokens: 10,437
Step 00114/00651 | Training loss: 0.749597| lrm: 0.824885| num_tokens: 11,436
Step 00115/00651 | Training loss: 0.786855| lrm: 0.823349| num_tokens: 11,040
Step 00116/00651 | Training loss: 0.630912| lrm: 0.821813| num_tokens: 6,876
Step 00117/00651 | Training loss: 1.244051| lrm: 0.820276| num_tokens: 15,373
Step 00118/00651 | Training loss: 0.792176| lrm: 0.818740| num_tokens: 8,086
Step 00119/00651 | Training loss: 1.181469| lrm: 0.817204| num_tokens: 9,283
Step 00120/00651 | Training loss: 1.073173| lrm: 0.815668| num_tokens: 10,481
Step 00121/00651 | Training loss: 0.937216| lrm: 0.814132| num_tokens: 12,038
Step 00122/00651 | Training loss: 1.004483| lrm: 0.812596| num_tokens: 10,663
Step 00123/00651 | Training loss: 0.945848| lrm: 0.811060| num_tokens: 13,228
Step 00124/00651 | Training loss: 0.474031| lrm: 0.809524| num_tokens: 10,014
Step 00125/00651 | Training loss: 1.101261| lrm: 0.807988| num_tokens: 5,172
Step 00126/00651 | Training loss: 0.943711| lrm: 0.806452| num_tokens: 14,668
Step 00127/00651 | Training loss: 1.036700| lrm: 0.804916| num_tokens: 7,599
Step 00128/00651 | Training loss: 0.847434| lrm: 0.803379| num_tokens: 12,108
Step 00129/00651 | Training loss: 0.913405| lrm: 0.801843| num_tokens: 10,599
Step 00130/00651 | Training loss: 0.917888| lrm: 0.800307| num_tokens: 12,135
Step 00131/00651 | Training loss: 1.017648| lrm: 0.798771| num_tokens: 10,156
Step 00132/00651 | Training loss: 0.767135| lrm: 0.797235| num_tokens: 9,018
Step 00133/00651 | Training loss: 0.795489| lrm: 0.795699| num_tokens: 12,475
Step 00134/00651 | Training loss: 1.071490| lrm: 0.794163| num_tokens: 9,008
Step 00135/00651 | Training loss: 1.215436| lrm: 0.792627| num_tokens: 9,279
Step 00136/00651 | Training loss: 1.507295| lrm: 0.791091| num_tokens: 8,933
Step 00137/00651 | Training loss: 1.434823| lrm: 0.789555| num_tokens: 6,565
Step 00138/00651 | Training loss: 0.629981| lrm: 0.788018| num_tokens: 7,465
Step 00139/00651 | Training loss: 1.139410| lrm: 0.786482| num_tokens: 5,889
Step 00140/00651 | Training loss: 0.708253| lrm: 0.784946| num_tokens: 9,387
Step 00141/00651 | Training loss: 1.349535| lrm: 0.783410| num_tokens: 9,859
Step 00142/00651 | Training loss: 0.597378| lrm: 0.781874| num_tokens: 8,651
Step 00143/00651 | Training loss: 1.075104| lrm: 0.780338| num_tokens: 8,860
Step 00144/00651 | Training loss: 0.916076| lrm: 0.778802| num_tokens: 12,254
Step 00145/00651 | Training loss: 1.146053| lrm: 0.777266| num_tokens: 11,979
Step 00146/00651 | Training loss: 0.857795| lrm: 0.775730| num_tokens: 9,719
Step 00147/00651 | Training loss: 0.771577| lrm: 0.774194| num_tokens: 12,817
Step 00148/00651 | Training loss: 1.249620| lrm: 0.772657| num_tokens: 11,309
Step 00149/00651 | Training loss: 1.398116| lrm: 0.771121| num_tokens: 9,483
Step 00150/00651 | Training loss: 1.364335| lrm: 0.769585| num_tokens: 11,821
Step 00151/00651 | Training loss: 0.901764| lrm: 0.768049| num_tokens: 10,072
Step 00152/00651 | Training loss: 0.917661| lrm: 0.766513| num_tokens: 8,005
Step 00153/00651 | Training loss: 1.113017| lrm: 0.764977| num_tokens: 8,914
Step 00154/00651 | Training loss: 1.051183| lrm: 0.763441| num_tokens: 12,238
Step 00155/00651 | Training loss: 0.796066| lrm: 0.761905| num_tokens: 8,165
Step 00156/00651 | Training loss: 0.715467| lrm: 0.760369| num_tokens: 7,980
Step 00157/00651 | Training loss: 1.187124| lrm: 0.758833| num_tokens: 8,973
Step 00158/00651 | Training loss: 0.800402| lrm: 0.757296| num_tokens: 9,234
Step 00159/00651 | Training loss: 0.643767| lrm: 0.755760| num_tokens: 8,496
Step 00160/00651 | Training loss: 0.898299| lrm: 0.754224| num_tokens: 5,978
Step 00161/00651 | Training loss: 0.790737| lrm: 0.752688| num_tokens: 8,493
Step 00162/00651 | Training loss: 0.641810| lrm: 0.751152| num_tokens: 10,330
Step 00163/00651 | Training loss: 0.876092| lrm: 0.749616| num_tokens: 10,131
Step 00164/00651 | Training loss: 0.999123| lrm: 0.748080| num_tokens: 12,624
Step 00165/00651 | Training loss: 0.590900| lrm: 0.746544| num_tokens: 10,185
Step 00166/00651 | Training loss: 0.976391| lrm: 0.745008| num_tokens: 10,167
Step 00167/00651 | Training loss: 1.048809| lrm: 0.743472| num_tokens: 8,453
Step 00168/00651 | Training loss: 0.946269| lrm: 0.741935| num_tokens: 8,979
Step 00169/00651 | Training loss: 1.126392| lrm: 0.740399| num_tokens: 11,339
Step 00170/00651 | Training loss: 0.875010| lrm: 0.738863| num_tokens: 11,715
Step 00171/00651 | Training loss: 0.553788| lrm: 0.737327| num_tokens: 9,023
Step 00172/00651 | Training loss: 0.750212| lrm: 0.735791| num_tokens: 9,598
Step 00173/00651 | Training loss: 0.587263| lrm: 0.734255| num_tokens: 11,903
Step 00174/00651 | Training loss: 0.809847| lrm: 0.732719| num_tokens: 9,932
Step 00175/00651 | Training loss: 0.686012| lrm: 0.731183| num_tokens: 9,019
Step 00176/00651 | Training loss: 0.880143| lrm: 0.729647| num_tokens: 11,524
Step 00177/00651 | Training loss: 1.102800| lrm: 0.728111| num_tokens: 14,665
Step 00178/00651 | Training loss: 1.081057| lrm: 0.726575| num_tokens: 10,083
Step 00179/00651 | Training loss: 1.388417| lrm: 0.725038| num_tokens: 7,040
Step 00180/00651 | Training loss: 1.386403| lrm: 0.723502| num_tokens: 11,185
Step 00181/00651 | Training loss: 1.242911| lrm: 0.721966| num_tokens: 14,478
Step 00182/00651 | Training loss: 0.784363| lrm: 0.720430| num_tokens: 14,492
Step 00183/00651 | Training loss: 0.979394| lrm: 0.718894| num_tokens: 15,861
Step 00184/00651 | Training loss: 0.888834| lrm: 0.717358| num_tokens: 11,135
Step 00185/00651 | Training loss: 1.207065| lrm: 0.715822| num_tokens: 10,823
Step 00186/00651 | Training loss: 0.772959| lrm: 0.714286| num_tokens: 12,346
Step 00187/00651 | Training loss: 0.995173| lrm: 0.712750| num_tokens: 10,587
Step 00188/00651 | Training loss: 0.876934| lrm: 0.711214| num_tokens: 10,827
Step 00189/00651 | Training loss: 1.294811| lrm: 0.709677| num_tokens: 9,051
Step 00190/00651 | Training loss: 0.746792| lrm: 0.708141| num_tokens: 12,362
Step 00191/00651 | Training loss: 0.423693| lrm: 0.706605| num_tokens: 13,422
Step 00192/00651 | Training loss: 0.764874| lrm: 0.705069| num_tokens: 6,248
Step 00193/00651 | Training loss: 0.643578| lrm: 0.703533| num_tokens: 10,422
Step 00194/00651 | Training loss: 0.926971| lrm: 0.701997| num_tokens: 9,799
Step 00195/00651 | Training loss: 0.839598| lrm: 0.700461| num_tokens: 10,977
Step 00196/00651 | Training loss: 0.659859| lrm: 0.698925| num_tokens: 11,765
Step 00197/00651 | Training loss: 1.077299| lrm: 0.697389| num_tokens: 8,940
Step 00198/00651 | Training loss: 0.809169| lrm: 0.695853| num_tokens: 11,173
Step 00199/00651 | Training loss: 0.627241| lrm: 0.694316| num_tokens: 7,835
Step 00200 | Validation loss: 1.071190
Final: 261/1024 (25.49%)
Final: 269/1024 (26.27%)
[KRank 0 | 0/8 (0.00%)
==================================================
Final: 5/64 (7.81%)
[KRank 0 | 0/8 (0.00%)
==================================================
Final: 2/64 (3.12%)
Step 00200 | mmlu_acc: 0.254883, arc_easy_acc: 0.262695, gsm8k_acc: 0.078125, humaneval_acc: 0.031250
Step 00200/00651 | Training loss: 1.174435| lrm: 0.692780| num_tokens: 15,427
Step 00201/00651 | Training loss: 1.019555| lrm: 0.691244| num_tokens: 13,861
Step 00202/00651 | Training loss: 1.190963| lrm: 0.689708| num_tokens: 7,064
Step 00203/00651 | Training loss: 1.141695| lrm: 0.688172| num_tokens: 9,201
Step 00204/00651 | Training loss: 0.728438| lrm: 0.686636| num_tokens: 10,893
Step 00205/00651 | Training loss: 1.196743| lrm: 0.685100| num_tokens: 12,916
Step 00206/00651 | Training loss: 1.023886| lrm: 0.683564| num_tokens: 13,471
Step 00207/00651 | Training loss: 1.098711| lrm: 0.682028| num_tokens: 11,746
Step 00208/00651 | Training loss: 0.573796| lrm: 0.680492| num_tokens: 9,903
Step 00209/00651 | Training loss: 0.931586| lrm: 0.678955| num_tokens: 10,800
Step 00210/00651 | Training loss: 1.033769| lrm: 0.677419| num_tokens: 8,371
Step 00211/00651 | Training loss: 0.754897| lrm: 0.675883| num_tokens: 10,278
Step 00212/00651 | Training loss: 1.078963| lrm: 0.674347| num_tokens: 15,688
Step 00213/00651 | Training loss: 1.023518| lrm: 0.672811| num_tokens: 13,662
Step 00214/00651 | Training loss: 0.822645| lrm: 0.671275| num_tokens: 10,501
Step 00215/00651 | Training loss: 1.081066| lrm: 0.669739| num_tokens: 13,927
Step 00216/00651 | Training loss: 0.874277| lrm: 0.668203| num_tokens: 12,842
Step 00217/00651 | Training loss: 0.694166| lrm: 0.666667| num_tokens: 13,601
Step 00218/00651 | Training loss: 0.569389| lrm: 0.665131| num_tokens: 14,640
Step 00219/00651 | Training loss: 1.058063| lrm: 0.663594| num_tokens: 10,602
Step 00220/00651 | Training loss: 0.988357| lrm: 0.662058| num_tokens: 10,435
Step 00221/00651 | Training loss: 0.585530| lrm: 0.660522| num_tokens: 9,645
Step 00222/00651 | Training loss: 1.045506| lrm: 0.658986| num_tokens: 14,785
Step 00223/00651 | Training loss: 0.916679| lrm: 0.657450| num_tokens: 7,589
Step 00224/00651 | Training loss: 1.221991| lrm: 0.655914| num_tokens: 13,605
Step 00225/00651 | Training loss: 0.671624| lrm: 0.654378| num_tokens: 10,401
Step 00226/00651 | Training loss: 1.365010| lrm: 0.652842| num_tokens: 8,125
Step 00227/00651 | Training loss: 1.663547| lrm: 0.651306| num_tokens: 6,355
Step 00228/00651 | Training loss: 0.896643| lrm: 0.649770| num_tokens: 13,460
Step 00229/00651 | Training loss: 0.754293| lrm: 0.648233| num_tokens: 10,081
Step 00230/00651 | Training loss: 1.097548| lrm: 0.646697| num_tokens: 10,510
Step 00231/00651 | Training loss: 0.796155| lrm: 0.645161| num_tokens: 10,362
Step 00232/00651 | Training loss: 1.073660| lrm: 0.643625| num_tokens: 12,835
Step 00233/00651 | Training loss: 0.716219| lrm: 0.642089| num_tokens: 12,461
Step 00234/00651 | Training loss: 0.953862| lrm: 0.640553| num_tokens: 12,739
Step 00235/00651 | Training loss: 0.935484| lrm: 0.639017| num_tokens: 11,577
Step 00236/00651 | Training loss: 0.849718| lrm: 0.637481| num_tokens: 8,758
Step 00237/00651 | Training loss: 1.155887| lrm: 0.635945| num_tokens: 11,138
Step 00238/00651 | Training loss: 1.057164| lrm: 0.634409| num_tokens: 13,313
Step 00239/00651 | Training loss: 1.003471| lrm: 0.632873| num_tokens: 14,561
Step 00240/00651 | Training loss: 0.988659| lrm: 0.631336| num_tokens: 5,044
Step 00241/00651 | Training loss: 0.997582| lrm: 0.629800| num_tokens: 10,634
Step 00242/00651 | Training loss: 0.936794| lrm: 0.628264| num_tokens: 9,593
Step 00243/00651 | Training loss: 0.992962| lrm: 0.626728| num_tokens: 15,037
Step 00244/00651 | Training loss: 0.513734| lrm: 0.625192| num_tokens: 10,743
Step 00245/00651 | Training loss: 0.599346| lrm: 0.623656| num_tokens: 7,519
Step 00246/00651 | Training loss: 1.510608| lrm: 0.622120| num_tokens: 11,970
Step 00247/00651 | Training loss: 1.073878| lrm: 0.620584| num_tokens: 7,465
Step 00248/00651 | Training loss: 1.191706| lrm: 0.619048| num_tokens: 16,307
Step 00249/00651 | Training loss: 0.705607| lrm: 0.617512| num_tokens: 12,285
Step 00250/00651 | Training loss: 1.195968| lrm: 0.615975| num_tokens: 10,597
Step 00251/00651 | Training loss: 1.442510| lrm: 0.614439| num_tokens: 14,200
Step 00252/00651 | Training loss: 0.995461| lrm: 0.612903| num_tokens: 10,098
Step 00253/00651 | Training loss: 1.200255| lrm: 0.611367| num_tokens: 13,074
Step 00254/00651 | Training loss: 0.872336| lrm: 0.609831| num_tokens: 11,801
Step 00255/00651 | Training loss: 0.928042| lrm: 0.608295| num_tokens: 11,264
Step 00256/00651 | Training loss: 1.161792| lrm: 0.606759| num_tokens: 14,341
Step 00257/00651 | Training loss: 0.719669| lrm: 0.605223| num_tokens: 10,064
Step 00258/00651 | Training loss: 0.839782| lrm: 0.603687| num_tokens: 8,193
Step 00259/00651 | Training loss: 0.676392| lrm: 0.602151| num_tokens: 7,392
Step 00260/00651 | Training loss: 0.740502| lrm: 0.600614| num_tokens: 15,345
Step 00261/00651 | Training loss: 0.581154| lrm: 0.599078| num_tokens: 8,772
Step 00262/00651 | Training loss: 0.915389| lrm: 0.597542| num_tokens: 9,810
Step 00263/00651 | Training loss: 0.696575| lrm: 0.596006| num_tokens: 13,391
Step 00264/00651 | Training loss: 1.310445| lrm: 0.594470| num_tokens: 14,255
Step 00265/00651 | Training loss: 0.910332| lrm: 0.592934| num_tokens: 13,350
Step 00266/00651 | Training loss: 1.089526| lrm: 0.591398| num_tokens: 8,463
Step 00267/00651 | Training loss: 1.085344| lrm: 0.589862| num_tokens: 15,478
Step 00268/00651 | Training loss: 0.703038| lrm: 0.588326| num_tokens: 12,615
Step 00269/00651 | Training loss: 0.919202| lrm: 0.586790| num_tokens: 12,023
Step 00270/00651 | Training loss: 1.311776| lrm: 0.585253| num_tokens: 11,693
Step 00271/00651 | Training loss: 0.900292| lrm: 0.583717| num_tokens: 13,298
Step 00272/00651 | Training loss: 1.030694| lrm: 0.582181| num_tokens: 10,061
Step 00273/00651 | Training loss: 0.930728| lrm: 0.580645| num_tokens: 15,225
Step 00274/00651 | Training loss: 1.161924| lrm: 0.579109| num_tokens: 10,683
Step 00275/00651 | Training loss: 0.740988| lrm: 0.577573| num_tokens: 5,649
Step 00276/00651 | Training loss: 0.867037| lrm: 0.576037| num_tokens: 8,625
Step 00277/00651 | Training loss: 1.071430| lrm: 0.574501| num_tokens: 10,297
Step 00278/00651 | Training loss: 1.024062| lrm: 0.572965| num_tokens: 14,391
Step 00279/00651 | Training loss: 1.291551| lrm: 0.571429| num_tokens: 15,615
Step 00280/00651 | Training loss: 1.090751| lrm: 0.569892| num_tokens: 14,387
Step 00281/00651 | Training loss: 0.919327| lrm: 0.568356| num_tokens: 7,488
Step 00282/00651 | Training loss: 1.059373| lrm: 0.566820| num_tokens: 17,169
Step 00283/00651 | Training loss: 0.904150| lrm: 0.565284| num_tokens: 11,091
Step 00284/00651 | Training loss: 0.897166| lrm: 0.563748| num_tokens: 8,554
Step 00285/00651 | Training loss: 0.783884| lrm: 0.562212| num_tokens: 9,086
Step 00286/00651 | Training loss: 0.763817| lrm: 0.560676| num_tokens: 13,440
Step 00287/00651 | Training loss: 0.764977| lrm: 0.559140| num_tokens: 9,593
Step 00288/00651 | Training loss: 0.811366| lrm: 0.557604| num_tokens: 11,294
Step 00289/00651 | Training loss: 0.823049| lrm: 0.556068| num_tokens: 7,891
Step 00290/00651 | Training loss: 0.978418| lrm: 0.554531| num_tokens: 10,713
Step 00291/00651 | Training loss: 0.757853| lrm: 0.552995| num_tokens: 9,717
Step 00292/00651 | Training loss: 0.586458| lrm: 0.551459| num_tokens: 7,198
Step 00293/00651 | Training loss: 0.996590| lrm: 0.549923| num_tokens: 8,932
Step 00294/00651 | Training loss: 1.227482| lrm: 0.548387| num_tokens: 9,845
Step 00295/00651 | Training loss: 0.875439| lrm: 0.546851| num_tokens: 8,584
Step 00296/00651 | Training loss: 0.721567| lrm: 0.545315| num_tokens: 9,170
Step 00297/00651 | Training loss: 0.599856| lrm: 0.543779| num_tokens: 8,077
Step 00298/00651 | Training loss: 0.767020| lrm: 0.542243| num_tokens: 9,519
Step 00299/00651 | Training loss: 0.645244| lrm: 0.540707| num_tokens: 11,549
Step 00300 | Validation loss: 1.069729
Step 00300/00651 | Training loss: 1.071899| lrm: 0.539171| num_tokens: 7,838
Step 00301/00651 | Training loss: 1.329674| lrm: 0.537634| num_tokens: 9,767
